id,dep_delayed_15min
0,0.9558864589445409
1,0.9357344308091946
2,0.9587627190383247
3,0.7476064220347904
4,0.7120469384149466
5,0.9282493788849002
6,0.9511120870194476
7,0.8176247995812984
8,0.8524432155290569
9,0.6966641307146546
10,0.7046876420042207
11,0.7222365263474229
12,0.9110675498768586
13,0.8556784495181817
14,0.9367105900341823
15,0.7491102449348981
16,0.9136584680712991
17,0.7526214498969037
18,0.5284322909889251
19,0.9674498519045399
20,0.8565699426868753
21,0.9581801008531801
22,0.7144551206756873
23,0.8680902237270023
24,0.7582072850312837
25,0.6892960045798497
26,0.9694126278043453
27,0.9548569474647416
28,0.7012114775646271
29,0.848809085914209
30,0.8356735311713963
31,0.6184481115938303
32,0.9768219970466965
33,0.7618647059891503
34,0.556521736467736
35,0.7386988879885475
36,0.8346240112847361
37,0.8282405051989755
38,0.9149785584943942
39,0.7981234459501324
40,0.8915260381246312
41,0.8445148529660116
42,0.8571047676096455
43,0.6913752037626169
44,0.8869803224034284
45,0.5766262187215434
46,0.9709006781073104
47,0.8181261823745953
48,0.40855918894721277
49,0.9114106947136992
50,0.6043407832533747
51,0.9463506002804751
52,0.8709026350401206
53,0.6079523453763955
54,0.8350121449887962
55,0.9051875420080578
56,0.7566739964378161
57,0.6920033953589863
58,0.9188079059121503
59,0.7717635341894888
60,0.8019256914610688
61,0.8918742535803574
62,0.8219668031226596
63,0.7539790626782691
64,0.8481173903591517
65,0.8378407079984597
66,0.9655334417935679
67,0.8469684902806379
68,0.8839661338610798
69,0.8060572236618246
70,0.9756653310263776
71,0.7690850387596785
72,0.638336642687849
73,0.7526735579835484
74,0.33991847854401014
75,0.7653581425498897
76,0.9090996326623888
77,0.8647471345302795
78,0.9251926160789482
79,0.860350548748264
80,0.8294543469914271
81,0.7649396586856269
82,0.9036121866731209
83,0.8821438263070315
84,0.9060086524858734
85,0.9771091259394357
86,0.9278628770175471
87,0.8109076540016564
88,0.8070020730501746
89,0.8210177272560396
90,0.7558053530540558
91,0.809937261597027
92,0.8565585275474115
93,0.8406026307359123
94,0.8398825971472021
95,0.8722805956315276
96,0.712035923489136
97,0.8825521245742536
98,0.7674221462619352
99,0.6754422607361943
100,0.8790377975302184
101,0.8240629528280036
102,0.9170541728540187
103,0.753105037776034
104,0.9611412599106703
105,0.9022533721821505
106,0.6838199162362614
107,0.929089974138716
108,0.8469429929465799
109,0.7883609040729157
110,0.8282378889031505
111,0.7936486075928817
112,0.23854920087339493
113,0.9706165803374153
114,0.9584476971203342
115,0.8915322434577185
116,0.9017499202238054
117,0.5099029706592431
118,0.9435620909065786
119,0.857931225587441
120,0.7510817052866819
121,0.7421198260562922
122,0.8136380743054623
123,0.8206695764837819
124,0.784744145364886
125,0.9525040848993115
126,0.9371896714071717
127,0.9606198769290376
128,0.9266739724161417
129,0.7453832346124278
130,0.7271038870931568
131,0.8491338985809083
132,0.9721365876423839
133,0.8375828525226683
134,0.9582361331526258
135,0.8277572448029419
136,0.8053408197011134
137,0.8662094195444408
138,0.973037056548746
139,0.9260863904447075
140,0.7578787215506052
141,0.8019746069292392
142,0.7922745327865883
143,0.7920230146620464
144,0.8947828512675814
145,0.8465555346696615
146,0.744247502720017
147,0.7838140902334618
148,0.921339340283542
149,0.6532425201801384
150,0.5911296713010289
151,0.8469160562714675
152,0.881596624898172
153,0.8606648589369348
154,0.8591618395347709
155,0.8614773370981003
156,0.7722220735504598
157,0.8008998810006116
158,0.6539306264578466
159,0.9707887178743222
160,0.9353926013530734
161,0.601245274886331
162,0.4511671095018175
163,0.8749609841011154
164,0.8458745280477454
165,0.8839580380133266
166,0.815407384528
167,0.9275250064448878
168,0.8738243634057552
169,0.7608967120874564
170,0.8346506848727684
171,0.8638181584107688
172,0.8813170614058758
173,0.7729520032810954
174,0.723899238776153
175,0.80884527381946
176,0.852383153873882
177,0.9877204175505049
178,0.7843670593887844
179,0.8479393691881205
180,0.9595875692378933
181,0.8916734843421018
182,0.7879462535016253
183,0.48719662227804406
184,0.7506888855476401
185,0.7178280119795329
186,0.7684647608836644
187,0.6758639621092736
188,0.7455376385047595
189,0.7025882926927765
190,0.6233762663998843
191,0.7077568466509392
192,0.8270051874551336
193,0.8535720722475408
194,0.7975490596239576
195,0.8954597169977117
196,0.900414667155663
197,0.8732928935022648
198,0.7367148431985914
199,0.7432557513432825
200,0.7759131440738096
201,0.6918028685903322
202,0.8141600003892917
203,0.9789125186927321
204,0.9524461869131168
205,0.7157515100887376
206,0.48861958939778993
207,0.9662040451590165
208,0.8351771038789843
